quarter,total,eess,q-bio,q-fin,stat,math,physics
2017Q2,102,0.0,0.9803921568627451,0.0,7.8431372549019605,0.0,0.9803921568627451
2017Q3,743,0.4037685060565276,0.0,0.13458950201884254,6.056527590847914,0.2691790040376851,1.3458950201884252
2017Q4,604,5.629139072847682,0.16556291390728478,0.0,7.9470198675496695,0.0,0.8278145695364238
2018Q1,564,6.560283687943262,0.5319148936170213,0.0,9.042553191489363,0.1773049645390071,1.5957446808510638
2018Q2,1100,4.909090909090909,0.09090909090909091,0.09090909090909091,9.909090909090908,0.09090909090909091,0.45454545454545453
2018Q3,1080,3.5185185185185186,0.1851851851851852,0.0925925925925926,10.648148148148149,0.5555555555555556,0.4629629629629629
2018Q4,980,8.571428571428571,0.40816326530612246,0.30612244897959184,13.46938775510204,0.6122448979591837,0.8163265306122449
2019Q1,700,4.714285714285714,0.14285714285714285,0.0,12.0,0.8571428571428572,0.8571428571428572
2019Q2,1493,7.702612190221031,0.46885465505693236,0.06697923643670461,12.123241795043537,0.33489618218352313,0.20093770931011384
2019Q3,1610,7.329192546583851,0.37267080745341613,0.062111801242236024,11.055900621118013,0.2484472049689441,0.37267080745341613
2019Q4,1578,10.456273764258556,0.25348542458808615,0.12674271229404308,11.787072243346007,0.38022813688212925,0.25348542458808615
2020Q1,1003,9.970089730807578,0.4985044865403789,0.29910269192422734,13.758723828514457,0.3988035892323031,0.19940179461615154
2020Q2,2242,8.519179304192685,0.40142729705619984,0.13380909901873325,7.35950044603033,0.35682426404995543,0.2676181980374665
2020Q3,1359,8.388520971302428,0.5886681383370125,0.22075055187637968,6.107431935246504,0.44150110375275936,0.36791758646063283
2020Q4,2471,6.353702954269526,0.36422501011736136,0.04046944556859571,1.9425333872925938,0.12140833670578711,0.24281667341157423
2021Q1,1476,6.639566395663957,0.6775067750677507,0.0,1.3550135501355014,0.33875338753387535,0.13550135501355012
2021Q2,2531,7.981035163966811,0.19755037534571318,0.07902015013828526,1.1457921770051362,0.4741209008297116,0.632161201106282
2021Q3,2114,5.865657521286661,0.3784295175023652,0.1892147587511826,0.5676442762535477,0.1892147587511826,0.28382213812677387
2021Q4,1988,9.758551307847082,0.5030181086519114,0.2515090543259557,1.5090543259557343,0.15090543259557343,0.35211267605633806
2022Q1,1801,10.605219322598556,0.44419766796224325,0.22209883398112162,1.4991671293725708,0.3331482509716824,0.44419766796224325
2022Q2,2467,7.985407377381434,0.6080259424402107,0.08107012565869477,0.8917713822456425,0.24321037697608433,0.24321037697608433
2022Q3,1507,8.161911081619111,0.6635700066357001,0.19907100199071004,1.1280690112806901,0.06635700066357,0.6635700066357001
2022Q4,3179,9.090909090909092,0.5662157911292859,0.06291286568103177,1.0066058508965083,0.34602076124567477,0.28310789556464294
2023Q1,1961,8.108108108108109,1.1218765935747066,0.35696073431922487,1.5298317185109638,0.4589495155532891,0.407955124936257
2023Q2,4326,7.674526121128062,0.48543689320388345,0.2542764678687009,1.2251502542764678,0.36985668053629217,0.36985668053629217
2023Q3,2885,8.942807625649914,0.5545927209705372,0.34662045060658575,1.0051993067590987,0.41594454072790293,0.5199306759098787
2023Q4,4392,4.41712204007286,0.4326047358834244,0.25045537340619306,1.0473588342440803,0.273224043715847,0.2959927140255009
2024Q1,5011,3.7717022550389148,0.7383755737377768,0.3392536419876272,1.2971462781879863,0.2594292556375973,0.29934144881261227
2024Q2,5646,5.331207934821112,0.7970244420828906,0.21253985122210414,1.3637973786751683,0.3896563939071909,0.33652143110166494
2024Q3,4388,7.224247948951687,0.5469462169553327,0.31905195989061075,0.9799453053783045,0.27347310847766637,0.4557885141294439
2024Q4,5552,4.088616714697406,0.6484149855907781,0.2881844380403458,1.4589337175792507,0.27017291066282423,0.18011527377521613
2025Q1,5656,2.8642149929278644,0.7072135785007072,0.24752475247524752,1.0077793493635077,0.2652050919377652,0.21216407355021216
2025Q2,6866,4.9082435187882325,0.6699679580541801,0.17477424992717738,1.2525487911447712,0.33498397902709004,0.33498397902709004
2025Q3,5621,4.429816758583883,0.5515032912293186,0.37359900373599003,0.764988436221313,0.33801814623732435,0.16011385874399572
2025Q4,5532,2.2234273318872018,0.5061460592913956,0.19884309472161968,1.2472885032537961,0.27114967462039047,0.21691973969631237
2026Q1,5513,2.4306185380010885,0.6711409395973155,0.14511155450752766,0.9250861599854889,0.18138944313440958,0.36277888626881916
2026Q2,676,1.183431952662722,0.7396449704142012,0.14792899408284024,1.6272189349112427,0.14792899408284024,0.14792899408284024
