year,China,Europe,US East
2017,0.378191856452726,0.2919254658385093,0.36853002070393376
2018,0.3595596133190118,0.31552094522019336,0.37620837808807733
2019,0.35012079539119123,0.3255900390262033,0.3904478721427244
2020,0.36226148409893993,0.3103886925795053,0.38713780918727914
2021,0.3324700949562215,0.31471204834134914,0.4133678628684178
2022,0.3273397364306455,0.31762340853249943,0.41690864418137147
2023,0.3398702447655559,0.30595694485402536,0.408876437629018
2024,0.3336893722386755,0.3150944312278487,0.40753507792396954
2025,0.33148891235480465,0.3124815205913411,0.4087856388595565
2026,0.32767813863305867,0.35756988204879625,0.42914848925513005
