month_str,count
2017-06,102
2017-07,284
2017-08,228
2017-09,231
2017-10,190
2017-11,243
2017-12,171
2018-01,145
2018-02,196
2018-03,223
2018-04,354
2018-05,438
2018-06,308
2018-07,246
2018-08,424
2018-09,410
2018-10,326
2018-11,424
2018-12,230
2019-01,199
2019-02,239
2019-03,262
2019-04,468
2019-05,404
2019-06,621
2019-07,398
2019-08,519
2019-09,693
2019-10,580
2019-11,641
2019-12,357
2020-01,296
2020-02,361
2020-03,346
2020-04,851
2020-05,895
2020-06,496
2020-07,403
2020-08,390
2020-09,566
2020-10,1288
2020-11,590
2020-12,593
2021-01,509
2021-02,436
2021-03,531
2021-04,948
2021-05,671
2021-06,912
2021-07,469
2021-08,511
2021-09,1134
2021-10,868
2021-11,492
2021-12,628
2022-01,469
2022-02,451
2022-03,881
2022-04,889
2022-05,1005
2022-06,573
2022-07,445
2022-08,442
2022-09,620
2022-10,1413
2022-11,910
2022-12,856
2023-01,506
2023-02,720
2023-03,735
2023-04,737
2023-05,2342
2023-06,1247
2023-07,897
2023-08,889
2023-09,1099
2023-10,1951
2023-11,1419
2023-12,1022
2024-01,1187
2024-02,2102
2024-03,1722
2024-04,1574
2024-05,1600
2024-06,2472
2024-07,1612
2024-08,1304
2024-09,1472
2024-10,2639
2024-11,1258
2024-12,1655
2025-01,1299
2025-02,2484
2025-03,1873
2025-04,1619
2025-05,2922
2025-06,2325
2025-07,1645
2025-08,1836
2025-09,2140
2025-10,2621
2025-11,1589
2025-12,1322
2026-01,2220
2026-02,1793
2026-03,1500
2026-04,676
